"season","league","team","points","prev_season_points","points_change"
"2009/2010",Netherlands Eredivisie,VVV-Venlo,35,,
"2010/2011",Netherlands Eredivisie,VVV-Venlo,21,35,-14
"2011/2012",Netherlands Eredivisie,VVV-Venlo,31,21,10
"2012/2013",Netherlands Eredivisie,VVV-Venlo,28,31,-3
"2008/2009",Spain LIGA BBVA,Valencia CF,62,,
"2009/2010",Spain LIGA BBVA,Valencia CF,71,62,9
"2010/2011",Spain LIGA BBVA,Valencia CF,71,71,0
"2011/2012",Spain LIGA BBVA,Valencia CF,61,71,-10
"2012/2013",Spain LIGA BBVA,Valencia CF,65,61,4
"2013/2014",Spain LIGA BBVA,Valencia CF,49,65,-16
"2014/2015",Spain LIGA BBVA,Valencia CF,77,49,28
"2015/2016",Spain LIGA BBVA,Valencia CF,44,77,-33
"2008/2009",France Ligue 1,Valenciennes FC,44,,
"2009/2010",France Ligue 1,Valenciennes FC,52,44,8
"2010/2011",France Ligue 1,Valenciennes FC,48,52,-4
"2011/2012",France Ligue 1,Valenciennes FC,43,48,-5
"2012/2013",France Ligue 1,Valenciennes FC,48,43,5
"2013/2014",France Ligue 1,Valenciennes FC,29,48,-19
"2008/2009",Germany 1. Bundesliga,VfB Stuttgart,64,,
"2009/2010",Germany 1. Bundesliga,VfB Stuttgart,55,64,-9
"2010/2011",Germany 1. Bundesliga,VfB Stuttgart,42,55,-13
"2011/2012",Germany 1. Bundesliga,VfB Stuttgart,53,42,11
"2012/2013",Germany 1. Bundesliga,VfB Stuttgart,43,53,-10
"2013/2014",Germany 1. Bundesliga,VfB Stuttgart,32,43,-11
"2014/2015",Germany 1. Bundesliga,VfB Stuttgart,36,32,4
"2015/2016",Germany 1. Bundesliga,VfB Stuttgart,33,36,-3
"2008/2009",Germany 1. Bundesliga,VfL Bochum,32,,
"2009/2010",Germany 1. Bundesliga,VfL Bochum,28,32,-4
"2008/2009",Germany 1. Bundesliga,VfL Wolfsburg,69,,
"2009/2010",Germany 1. Bundesliga,VfL Wolfsburg,50,69,-19
"2010/2011",Germany 1. Bundesliga,VfL Wolfsburg,38,50,-12
"2011/2012",Germany 1. Bundesliga,VfL Wolfsburg,44,38,6
"2012/2013",Germany 1. Bundesliga,VfL Wolfsburg,43,44,-1
"2013/2014",Germany 1. Bundesliga,VfL Wolfsburg,60,43,17
"2014/2015",Germany 1. Bundesliga,VfL Wolfsburg,69,60,9
"2015/2016",Germany 1. Bundesliga,VfL Wolfsburg,45,69,-24
"2008/2009",Spain LIGA BBVA,Villarreal CF,65,,
"2009/2010",Spain LIGA BBVA,Villarreal CF,56,65,-9
"2010/2011",Spain LIGA BBVA,Villarreal CF,62,56,6
"2011/2012",Spain LIGA BBVA,Villarreal CF,41,62,-21
"2013/2014",Spain LIGA BBVA,Villarreal CF,59,41,18
"2014/2015",Spain LIGA BBVA,Villarreal CF,60,59,1
"2015/2016",Spain LIGA BBVA,Villarreal CF,64,60,4
"2008/2009",Netherlands Eredivisie,Vitesse,43,,
"2009/2010",Netherlands Eredivisie,Vitesse,32,43,-11
"2010/2011",Netherlands Eredivisie,Vitesse,35,32,3
"2011/2012",Netherlands Eredivisie,Vitesse,53,35,18
"2012/2013",Netherlands Eredivisie,Vitesse,64,53,11
"2013/2014",Netherlands Eredivisie,Vitesse,55,64,-9
"2014/2015",Netherlands Eredivisie,Vitesse,58,55,3
"2015/2016",Netherlands Eredivisie,Vitesse,46,58,-12
"2008/2009",Portugal Liga ZON Sagres,Vitória Guimarães,38,,
"2009/2010",Portugal Liga ZON Sagres,Vitória Guimarães,41,38,3
"2010/2011",Portugal Liga ZON Sagres,Vitória Guimarães,43,41,2
"2011/2012",Portugal Liga ZON Sagres,Vitória Guimarães,45,43,2
"2012/2013",Portugal Liga ZON Sagres,Vitória Guimarães,40,45,-5
"2013/2014",Portugal Liga ZON Sagres,Vitória Guimarães,35,40,-5
"2014/2015",Portugal Liga ZON Sagres,Vitória Guimarães,55,35,20
"2015/2016",Portugal Liga ZON Sagres,Vitória Guimarães,40,55,-15
"2008/2009",Portugal Liga ZON Sagres,Vitória Setúbal,26,,
"2009/2010",Portugal Liga ZON Sagres,Vitória Setúbal,25,26,-1
"2010/2011",Portugal Liga ZON Sagres,Vitória Setúbal,34,25,9
"2011/2012",Portugal Liga ZON Sagres,Vitória Setúbal,30,34,-4
"2012/2013",Portugal Liga ZON Sagres,Vitória Setúbal,26,30,-4
"2013/2014",Portugal Liga ZON Sagres,Vitória Setúbal,39,26,13
"2014/2015",Portugal Liga ZON Sagres,Vitória Setúbal,29,39,-10
"2015/2016",Portugal Liga ZON Sagres,Vitória Setúbal,30,29,1
"2012/2013",Belgium Jupiler League,Waasland-Beveren,30,,
"2013/2014",Belgium Jupiler League,Waasland-Beveren,4,30,-26
"2014/2015",Belgium Jupiler League,Waasland-Beveren,26,4,22
"2015/2016",Belgium Jupiler League,Waasland-Beveren,33,26,7
"2015/2016",England Premier League,Watford,45,,
"2008/2009",England Premier League,West Bromwich Albion,32,,
"2010/2011",England Premier League,West Bromwich Albion,47,32,15
"2011/2012",England Premier League,West Bromwich Albion,47,47,0
"2012/2013",England Premier League,West Bromwich Albion,49,47,2
"2013/2014",England Premier League,West Bromwich Albion,36,49,-13
"2014/2015",England Premier League,West Bromwich Albion,44,36,8
"2015/2016",England Premier League,West Bromwich Albion,43,44,-1
"2008/2009",England Premier League,West Ham United,51,,
"2009/2010",England Premier League,West Ham United,35,51,-16
"2010/2011",England Premier League,West Ham United,33,35,-2
"2012/2013",England Premier League,West Ham United,46,33,13
"2013/2014",England Premier League,West Ham United,40,46,-6
"2014/2015",England Premier League,West Ham United,47,40,7
"2015/2016",England Premier League,West Ham United,62,47,15
"2008/2009",Poland Ekstraklasa,Widzew Łódź,35,,
"2010/2011",Poland Ekstraklasa,Widzew Łódź,43,35,8
"2011/2012",Poland Ekstraklasa,Widzew Łódź,39,43,-4
"2011/2012",Poland Ekstraklasa,Widzew Łódź,24,39,-15
"2012/2013",Poland Ekstraklasa,Widzew Łódź,33,24,9
"2013/2014",Poland Ekstraklasa,Widzew Łódź,22,33,-11
"2008/2009",England Premier League,Wigan Athletic,45,,
"2009/2010",England Premier League,Wigan Athletic,36,45,-9
"2010/2011",England Premier League,Wigan Athletic,42,36,6
"2011/2012",England Premier League,Wigan Athletic,43,42,1
"2012/2013",England Premier League,Wigan Athletic,36,43,-7
"2008/2009",Netherlands Eredivisie,Willem II,37,,
"2009/2010",Netherlands Eredivisie,Willem II,23,37,-14
"2010/2011",Netherlands Eredivisie,Willem II,15,23,-8
"2012/2013",Netherlands Eredivisie,Willem II,23,15,8
"2014/2015",Netherlands Eredivisie,Willem II,46,23,23
"2015/2016",Netherlands Eredivisie,Willem II,29,46,-17
"2008/2009",Poland Ekstraklasa,Wisła Kraków,64,,
"2009/2010",Poland Ekstraklasa,Wisła Kraków,62,64,-2
"2010/2011",Poland Ekstraklasa,Wisła Kraków,56,62,-6
"2011/2012",Poland Ekstraklasa,Wisła Kraków,43,56,-13
"2012/2013",Poland Ekstraklasa,Wisła Kraków,38,43,-5
"2013/2014",Poland Ekstraklasa,Wisła Kraków,45,38,7
"2014/2015",Poland Ekstraklasa,Wisła Kraków,43,45,-2
"2015/2016",Poland Ekstraklasa,Wisła Kraków,37,43,-6
"2009/2010",England Premier League,Wolverhampton Wanderers,38,,
"2010/2011",England Premier League,Wolverhampton Wanderers,40,38,2
"2011/2012",England Premier League,Wolverhampton Wanderers,25,40,-15
"2009/2010",Spain LIGA BBVA,Xerez Club Deportivo,34,,
"2009/2010",Poland Ekstraklasa,Zagłębie Lubin,35,,
"2010/2011",Poland Ekstraklasa,Zagłębie Lubin,39,35,4
"2011/2012",Poland Ekstraklasa,Zagłębie Lubin,40,39,1
"2012/2013",Poland Ekstraklasa,Zagłębie Lubin,40,40,0
"2013/2014",Poland Ekstraklasa,Zagłębie Lubin,29,40,-11
"2015/2016",Poland Ekstraklasa,Zagłębie Lubin,45,29,16
"2013/2014",Poland Ekstraklasa,Zawisza Bydgoszcz,42,,
"2014/2015",Poland Ekstraklasa,Zawisza Bydgoszcz,29,42,-13
"2011/2012",France Ligue 1,Évian Thonon Gaillard FC,50,,
"2012/2013",France Ligue 1,Évian Thonon Gaillard FC,40,50,-10
"2013/2014",France Ligue 1,Évian Thonon Gaillard FC,44,40,4
"2014/2015",France Ligue 1,Évian Thonon Gaillard FC,37,44,-7
"2008/2009",Poland Ekstraklasa,Śląsk Wrocław,45,,
"2009/2010",Poland Ekstraklasa,Śląsk Wrocław,36,45,-9
"2010/2011",Poland Ekstraklasa,Śląsk Wrocław,49,36,13
"2011/2012",Poland Ekstraklasa,Śląsk Wrocław,56,49,7
"2012/2013",Poland Ekstraklasa,Śląsk Wrocław,47,56,-9
"2013/2014",Poland Ekstraklasa,Śląsk Wrocław,34,47,-13
"2014/2015",Poland Ekstraklasa,Śląsk Wrocław,46,34,12
"2015/2016",Poland Ekstraklasa,Śląsk Wrocław,34,46,-12
