"league","season","avg_home_goals","avg_away_goals","home_advantage","win_percent","draw_percent","loss_percent"
England Premier League,"2013/2014",1.5736842105263158,1.194736842105263,0.3789473684210527,0.4710526315789474,0.20526315789473684,0.3236842105263158
France Ligue 1,"2013/2014",1.4157894736842105,1.0394736842105263,0.37631578947368416,0.4421052631578947,0.28421052631578947,0.2736842105263158
England Premier League,"2011/2012",1.5894736842105264,1.2157894736842105,0.37368421052631584,0.45,0.24473684210526317,0.30526315789473685
Germany 1. Bundesliga,"2010/2011",1.6470588235294117,1.2745098039215685,0.37254901960784315,0.46078431372549017,0.20588235294117646,0.3333333333333333
France Ligue 1,"2009/2010",1.3894736842105264,1.0210526315789474,0.368421052631579,0.4710526315789474,0.25526315789473686,0.2736842105263158
Italy Serie A,"2015/2016",1.4710526315789474,1.105263157894737,0.36578947368421044,0.4605263157894737,0.25,0.2894736842105263
Belgium Jupiler League,"2014/2015",1.5666666666666667,1.2166666666666666,0.3500000000000001,0.44166666666666665,0.25,0.30833333333333335
Italy Serie A,"2010/2011",1.431578947368421,1.081578947368421,0.3500000000000001,0.4710526315789474,0.25526315789473686,0.2736842105263158
Italy Serie A,"2012/2013",1.4947368421052631,1.144736842105263,0.3500000000000001,0.46578947368421053,0.25263157894736843,0.28157894736842104
Portugal Liga ZON Sagres,"2011/2012",1.4958333333333333,1.1458333333333333,0.3500000000000001,0.4791666666666667,0.22083333333333333,0.3
Italy Serie A,"2013/2014",1.5368421052631578,1.186842105263158,0.34999999999999987,0.4763157894736842,0.23684210526315788,0.2868421052631579
France Ligue 1,"2015/2016",1.436842105263158,1.0894736842105264,0.34736842105263155,0.42105263157894735,0.28421052631578947,0.29473684210526313
France Ligue 1,"2010/2011",1.3421052631578947,1.0,0.3421052631578947,0.4131578947368421,0.34210526315789475,0.24473684210526317
Switzerland Super League,"2014/2015",1.6055555555555556,1.2666666666666666,0.338888888888889,0.4222222222222222,0.26666666666666666,0.3111111111111111
Germany 1. Bundesliga,"2013/2014",1.7483660130718954,1.411764705882353,0.3366013071895424,0.4738562091503268,0.20915032679738563,0.31699346405228757
Switzerland Super League,"2013/2014",1.6111111111111112,1.2777777777777777,0.3333333333333335,0.45555555555555555,0.22777777777777777,0.31666666666666665
France Ligue 1,"2014/2015",1.4105263157894736,1.081578947368421,0.32894736842105265,0.4763157894736842,0.23157894736842105,0.29210526315789476
England Premier League,"2008/2009",1.4,1.0789473684210527,0.32105263157894726,0.45526315789473687,0.25526315789473686,0.2894736842105263
Scotland Premier League,"2014/2015",1.4473684210526316,1.1271929824561404,0.3201754385964912,0.4473684210526316,0.19298245614035087,0.35964912280701755
England Premier League,"2012/2013",1.5578947368421052,1.2394736842105263,0.31842105263157894,0.4368421052631579,0.28421052631578947,0.2789473684210526
France Ligue 1,"2008/2009",1.2868421052631578,0.9710526315789474,0.3157894736842104,0.4342105263157895,0.29473684210526313,0.2710526315789474
Italy Serie A,"2014/2015",1.4986807387862797,1.187335092348285,0.31134564643799467,0.40105540897097625,0.316622691292876,0.28232189973614774
